area;upm;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;periodo
1;010150015301;1;1;2;2;2;1;1;2;2;2;1;2;2;2;3;2;2;2;2;3;1;3;2;2712;130,516389042336;202104
1;010150015301;2;3;2;1;2;1;2;1;2;3;3;3;3;3;3;3;2;2;2;2;1;2;1;2712;175,301310195122;202104
1;010150015301;2;2;2;1;3;1;2;1;2;2;3;1;3;1;3;3;2;2;2;3;3;3;3;2712;175,301310195122;202104
1;010150015301;2;2;2;2;3;2;3;2;2;2;3;3;1;1;3;3;2;2;2;2;2;2;2;2712;112,617269598213;202104
1;010150015301;2;2;2;1;2;2;2;2;2;2;3;3;2;3;3;2;2;2;2;3;1;3;2;2712;216,354452908282;202104
1;010150015301;3;3;3;3;3;1;3;1;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;151,260351715371;202104
1;010150015404;2;2;2;2;1;2;1;3;3;3;2;2;2;1;3;2;2;2;1;3;3;3;3;2713;168,783961800164;202104
1;010150015404;2;2;2;2;2;1;2;1;2;1;3;1;3;2;3;3;2;2;2;2;3;3;2;2713;132,01201366829;202104
1;010150015404;1;2;2;2;2;1;2;1;2;2;3;3;3;2;3;2;2;2;2;3;2;3;3;2713;166,085427780602;202104
1;010150015404;2;1;2;2;2;2;2;1;1;2;3;1;3;1;3;1;2;1;1;3;2;2;2;2713;132,01201366829;202104
1;010150015404;2;2;3;2;2;2;3;1;1;1;3;3;2;3;3;3;2;2;2;3;1;3;1;2713;113,070782262814;202104
1;010150015404;1;2;1;2;2;1;1;1;2;2;2;2;1;1;3;3;1;2;1;2;2;3;2;2713;153,29301595991;202104
1;010150015404;3;1;2;2;3;2;3;2;1;2;3;2;3;3;3;3;2;2;2;1;1;1;2;2713;193,115633194245;202104
1;010150016004;2;2;2;2;2;2;2;2;1;2;3;2;2;2;2;2;2;2;1;2;2;3;2;2712;157,615828678202;202104
1;010150016004;2;2;1;2;3;2;2;2;1;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2712;225,444976139722;202104
1;010150016004;2;2;2;2;2;2;3;1;1;2;2;2;3;2;3;2;2;2;2;3;2;2;2;2712;265,159834989128;202104
1;010150016004;1;2;1;2;3;2;2;2;1;2;3;2;3;3;2;3;2;2;2;3;2;3;2;2712;241,571544781503;202104
1;010150016004;2;2;3;2;3;2;2;2;1;2;3;2;2;2;2;2;2;2;2;3;2;3;2;2712;245,773307413169;202104
1;010150016004;2;2;1;2;2;2;2;2;1;2;3;2;3;2;3;2;2;2;2;3;2;3;1;2712;117,349087648558;202104
1;010150016004;3;2;1;2;3;2;2;2;1;2;3;2;2;2;2;2;2;2;2;3;3;3;3;2712;184,19925754491;202104
1;010150016202;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;1;1;1;1;2712;151,846868153768;202104
1;010150016202;2;2;2;2;2;2;2;2;2;1;1;3;3;3;3;3;2;2;2;2;1;3;3;2712;105,7779885049;202104
1;010150016202;2;2;2;2;4;2;4;2;1;1;3;3;3;3;3;3;2;2;2;2;2;2;2;2712;91,2715126155453;202104
1;010150016202;2;2;1;1;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;3;3;3;3;2712;176,963848637977;202104
1;010150016202;3;3;3;3;2;3;2;3;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2712;122,590088971935;202104
1;010150016202;2;2;2;2;2;2;2;2;2;1;1;3;3;3;3;3;2;2;2;3;2;3;3;2712;149,342436790253;202104
1;010150016202;2;2;1;1;3;1;3;1;1;3;3;3;3;3;3;3;2;2;2;3;1;3;2;2712;143,665581742718;202104
1;010150016704;2;2;2;2;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2713;287,326351072127;202104
1;010150016704;3;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;2;2;3;2;2713;180,252631176737;202104
1;010150016704;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;161,959479926103;202104
1;010150016704;2;2;1;2;3;2;2;2;1;3;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;180,252631176737;202104
1;010150016704;2;3;2;2;2;1;2;1;2;2;3;2;2;2;2;2;2;2;1;3;3;3;3;2713;161,959479926103;202104
1;010150016704;2;2;1;2;2;1;2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;3;3;2713;150,444510455033;202104
1;010150016704;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;202,067495032185;202104
1;010150016903;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;146,934449326555;202104
1;010150016903;2;2;2;3;3;2;3;2;2;2;2;2;2;2;2;2;1;2;2;2;3;3;3;2712;172,518823882864;202104
1;010150016903;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;3;2;3;2;2712;146,934449326555;202104
1;010150016903;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;3;2;2712;166,221311280151;202104
1;010150016903;2;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2712;136,487727103097;202104
1;010150016903;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2712;136,487727103097;202104
1;010150016903;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;3;2;3;2;2712;117,769693697478;202104
1;010150018602;2;2;2;2;2;1;2;1;1;1;3;1;3;3;3;3;2;2;2;3;3;3;2;2713;219,079006079058;202104
1;010150018602;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2713;165,658937368728;202104
1;010150018602;2;3;2;2;3;1;3;1;1;1;1;1;3;1;3;3;2;2;2;3;3;3;1;2713;222,889545859139;202104
1;010150018602;1;2;2;2;3;1;3;1;1;2;2;2;3;3;3;3;2;2;2;3;1;3;2;2713;165,658937368728;202104
1;010150018602;1;2;2;2;3;2;3;1;1;2;3;3;3;2;3;3;2;2;2;3;2;3;3;2713;132,777591651129;202104
1;010150018602;3;1;3;2;2;1;3;2;3;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2713;156,952576333156;202104
1;010150018602;2;2;2;2;3;1;3;1;1;2;3;1;3;1;3;2;2;2;2;3;1;2;1;2713;132,777591651129;202104
1;010150019001;3;2;2;1;2;2;2;2;1;2;3;3;2;2;3;3;2;2;2;3;3;3;3;2712;342,352224439288;202104
1;010150019001;2;1;2;1;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;3;2;2712;193,638613576781;202104
1;010150019001;2;3;3;2;2;2;2;2;1;2;3;2;2;1;3;3;2;2;2;3;3;2;1;2712;241,591721613445;202104
1;010150019001;2;2;2;2;2;2;2;1;1;2;3;3;3;3;3;3;2;2;2;3;2;3;3;2712;193,638613576781;202104
1;010150019001;1;2;2;1;3;2;3;1;1;1;2;3;2;3;3;3;2;2;2;3;1;2;1;2712;216,290281854861;202104
1;010150019001;2;2;2;2;4;2;4;2;1;2;3;3;2;2;2;2;2;2;2;3;2;2;2;2712;155,203632051319;202104
1;010150019001;2;1;2;2;2;2;2;1;1;1;2;3;2;2;3;3;2;2;2;3;2;2;3;2712;222,798578288249;202104
1;010150019102;3;3;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;209,400187404401;202104
1;010150019102;3;3;2;2;4;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2713;275,099173959165;202104
1;010150019102;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;125,865433240443;202104
1;010150019102;3;2;2;2;4;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2713;125,865433240443;202104
1;010150019102;3;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2713;203,901723614001;202104
1;010150019102;3;2;2;2;4;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;169,054442259884;202104
1;010150019102;3;3;2;2;4;2;4;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2713;241,806137246573;202104
1;010150019801;3;2;2;1;3;2;3;2;1;1;3;3;3;3;3;2;2;2;2;2;2;2;3;2711;142,099638807447;202104
1;010150019801;3;2;2;2;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;131,996661177089;202104
1;010150019801;2;2;2;2;3;2;2;2;2;2;3;2;3;3;3;3;2;2;2;3;2;3;3;2711;148,528908949406;202104
1;010150019801;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;1;2;3;3;3;3;2711;202,934430520374;202104
1;010150019801;3;2;1;1;3;2;3;2;2;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2711;160,053805915409;202104
1;010150019801;2;2;2;2;2;1;2;1;3;2;3;3;3;3;3;3;2;2;2;2;2;3;3;2711;163,498369032782;202104
1;010150019801;2;2;2;2;3;2;2;2;2;2;3;3;3;3;3;3;2;2;2;2;2;2;3;2711;158,722324857742;202104
1;010150019903;3;2;2;2;3;2;3;2;1;2;3;3;3;3;3;2;2;2;2;3;3;3;3;2712;187,023131443744;202104
1;010150019903;2;2;1;2;3;2;3;2;1;1;3;2;3;2;2;3;2;2;2;3;2;3;2;2712;179,413656346139;202104
1;010150019903;2;2;2;2;3;2;3;2;1;2;3;3;3;3;3;3;2;2;2;3;3;3;3;2712;105,290532336675;202104
1;010150019903;3;2;1;2;3;2;3;1;2;2;3;3;3;3;3;2;2;2;2;3;2;3;2;2712;187,107126425937;202104
